model_node,model,score,test_node,discrepancy,method,std,experiment
pi2,SVR(C=100),0.990728832,pi4,0.074385666,MMD,TRUE,1
pi4,"SVR(C=100, epsilon=0.2)",0.963400708,pi2,0.122682513,MMD,TRUE,1
pi2,SVR(kernel='linear'),0.986839921,pi4,0.003775969,MMD,TRUE,1
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.922843312,pi2,0.008328938,MMD,TRUE,1
pi2,LinearRegression(),0.986870279,pi4,0.006617171,MMD,TRUE,1
pi4,LinearRegression(),0.925743292,pi2,0.005911969,MMD,TRUE,1
pi2,SVR(C=100),0.990728832,pi4,0.074385666,OCSVM,TRUE,1
pi4,"SVR(C=100, epsilon=0.2)",0.963400708,pi2,0.122682513,OCSVM,TRUE,1
pi4,"SVR(C=100, epsilon=0.2)",0.963400708,pi3,0.357589704,OCSVM,TRUE,1
pi3,SVR(),0.980445718,pi4,3.671253705,OCSVM,TRUE,1
pi2,SVR(kernel='linear'),0.986839921,pi4,0.003775969,OCSVM,TRUE,1
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.922843312,pi2,0.008328938,OCSVM,TRUE,1
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.922843312,pi3,0.08627534,OCSVM,TRUE,1
pi3,"SVR(C=100, epsilon=0.2, kernel='linear')",0.92768657,pi4,0.422274144,OCSVM,TRUE,1
pi2,LinearRegression(),0.986870279,pi4,0.006617171,OCSVM,TRUE,1
pi4,LinearRegression(),0.925743292,pi2,0.005911969,OCSVM,TRUE,1
pi4,LinearRegression(),0.925743292,pi3,0.108676798,OCSVM,TRUE,1
pi3,LinearRegression(),0.928092729,pi4,0.45257139,OCSVM,TRUE,1
pi2,SVR(C=100),0.990728832,pi4,0.074385666,MMD OCSVM Verify,TRUE,1
pi4,"SVR(C=100, epsilon=0.2)",0.963400708,pi2,0.122682513,MMD OCSVM Verify,TRUE,1
pi2,SVR(kernel='linear'),0.986839921,pi4,0.003775969,MMD OCSVM Verify,TRUE,1
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.922843312,pi2,0.008328938,MMD OCSVM Verify,TRUE,1
pi2,LinearRegression(),0.986870279,pi4,0.006617171,MMD OCSVM Verify,TRUE,1
pi4,LinearRegression(),0.925743292,pi2,0.005911969,MMD OCSVM Verify,TRUE,1
pi2,SVR(C=100),0.990495486,pi4,0.080506959,MMD,FALSE,1
pi4,"SVR(C=10, epsilon=0.5)",0.958915327,pi2,0.055682759,MMD,FALSE,1
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.986335692,pi4,0.004641002,MMD,FALSE,1
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.921061789,pi2,0.015400117,MMD,FALSE,1
pi2,LinearRegression(),0.986870275,pi4,0.006617166,MMD,FALSE,1
pi4,LinearRegression(),0.925743277,pi2,0.00591195,MMD,FALSE,1
pi2,SVR(C=100),0.990495486,pi4,0.080506959,OCSVM,FALSE,1
pi4,"SVR(C=10, epsilon=0.5)",0.958915327,pi2,0.055682759,OCSVM,FALSE,1
pi4,"SVR(C=10, epsilon=0.5)",0.958915327,pi3,0.491759734,OCSVM,FALSE,1
pi3,"SVR(C=100, epsilon=0.2)",0.980795525,pi4,3.311086688,OCSVM,FALSE,1
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.986335692,pi4,0.004641002,OCSVM,FALSE,1
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.921061789,pi2,0.015400117,OCSVM,FALSE,1
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.921061789,pi3,0.069848686,OCSVM,FALSE,1
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.928071771,pi4,0.434515053,OCSVM,FALSE,1
pi2,LinearRegression(),0.986870275,pi4,0.006617166,OCSVM,FALSE,1
pi4,LinearRegression(),0.925743277,pi2,0.00591195,OCSVM,FALSE,1
pi4,LinearRegression(),0.925743277,pi3,0.108676727,OCSVM,FALSE,1
pi3,LinearRegression(),0.928092739,pi4,0.452570146,OCSVM,FALSE,1
pi2,SVR(C=100),0.990495486,pi4,0.080506959,MMD OCSVM Verify,FALSE,1
pi4,"SVR(C=10, epsilon=0.5)",0.958915327,pi2,0.055682759,MMD OCSVM Verify,FALSE,1
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.986335692,pi4,0.004641002,MMD OCSVM Verify,FALSE,1
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.921061789,pi2,0.015400117,MMD OCSVM Verify,FALSE,1
pi2,LinearRegression(),0.986870275,pi4,0.006617166,MMD OCSVM Verify,FALSE,1
pi4,LinearRegression(),0.925743277,pi2,0.00591195,MMD OCSVM Verify,FALSE,1
pi3,"SVR(C=100, epsilon=0.2)",0.458038086,pi5,0.6772014,MMD,TRUE,2
pi5,"SVR(C=100, epsilon=0.01)",0.76381012,pi3,1.718354632,MMD,TRUE,2
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.330470266,pi5,0.148899454,MMD,TRUE,2
pi5,SVR(kernel='linear'),0.682302319,pi3,0.310953469,MMD,TRUE,2
pi3,LinearRegression(normalize=True),0.357525394,pi5,0.57429031,MMD,TRUE,2
pi5,LinearRegression(),0.687920447,pi3,0.249219668,MMD,TRUE,2
pi2,"SVR(C=1, epsilon=0.01)",0.758962588,pi4,0.180199759,OCSVM,TRUE,2
pi4,"SVR(C=1, epsilon=0.2)",0.475409027,pi2,6.4655949,OCSVM,TRUE,2
pi4,"SVR(C=1, epsilon=0.2)",0.475409027,pi3,8.055864898,OCSVM,TRUE,2
pi3,"SVR(C=100, epsilon=0.2)",0.458038086,pi4,5.613245651,OCSVM,TRUE,2
pi2,"SVR(C=10, kernel='linear')",0.728920652,pi4,0.069567283,OCSVM,TRUE,2
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.016080768,pi2,0.654464203,OCSVM,TRUE,2
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.016080768,pi3,9.311116643,OCSVM,TRUE,2
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.330470266,pi4,5.096544094,OCSVM,TRUE,2
pi2,LinearRegression(),0.73431422,pi4,0.116321073,OCSVM,TRUE,2
pi4,LinearRegression(),0.022938118,pi2,0.250626917,OCSVM,TRUE,2
pi4,LinearRegression(),0.022938118,pi3,8.714240258,OCSVM,TRUE,2
pi3,LinearRegression(normalize=True),0.357525394,pi4,5.52450862,OCSVM,TRUE,2
pi3,"SVR(C=100, epsilon=1)",0.440122364,pi5,0.593711157,MMD,FALSE,2
pi5,"SVR(C=10, epsilon=0.2)",0.765057782,pi3,0.447993766,MMD,FALSE,2
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.319564643,pi5,0.121267906,MMD,FALSE,2
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.687318481,pi3,0.238211201,MMD,FALSE,2
pi3,LinearRegression(),0.357525404,pi5,0.574289493,MMD,FALSE,2
pi5,LinearRegression(),0.687920511,pi3,0.249219485,MMD,FALSE,2
pi2,"SVR(C=10, epsilon=0.2)",0.761168397,pi4,0.139843585,OCSVM,FALSE,2
pi4,SVR(),0.428734093,pi2,2.074218836,OCSVM,FALSE,2
pi4,SVR(),0.428734093,pi3,9.089403373,OCSVM,FALSE,2
pi3,"SVR(C=100, epsilon=1)",0.440122364,pi4,5.721639765,OCSVM,FALSE,2
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.729623033,pi4,0.139471294,OCSVM,FALSE,2
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.000283876,pi2,1.417487309,OCSVM,FALSE,2
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.000283876,pi3,9.342477647,OCSVM,FALSE,2
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.319564643,pi4,5.002948454,OCSVM,FALSE,2
pi2,LinearRegression(),0.734314146,pi4,0.116321322,OCSVM,FALSE,2
pi4,LinearRegression(),0.022938319,pi2,0.250626339,OCSVM,FALSE,2
pi4,LinearRegression(),0.022938319,pi3,8.714238664,OCSVM,FALSE,2
pi3,LinearRegression(),0.357525404,pi4,5.524508171,OCSVM,FALSE,2
pi3,SVR(C=0.1),0.083391016,pi4,1.007925116,MMD,TRUE,3
pi4,"SVR(C=100, epsilon=0.01)",0.989164257,pi3,1.482108213,MMD,TRUE,3
pi3,"SVR(C=0.001, epsilon=0.01, kernel='linear')",0.000596955,pi4,0.998009978,MMD,TRUE,3
pi4,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.986452879,pi3,1.950433171,MMD,TRUE,3
pi3,LinearRegression(),0.027892384,pi4,0.612577517,MMD,TRUE,3
pi4,LinearRegression(),0.986455087,pi3,1.995753296,MMD,TRUE,3
pi2,"SVR(C=0.1, epsilon=0.01)",0.939911652,pi4,2.521816768,OCSVM,TRUE,3
pi4,"SVR(C=100, epsilon=0.01)",0.989164257,pi2,3.364965336,OCSVM,TRUE,3
pi4,"SVR(C=100, epsilon=0.01)",0.989164257,pi3,1.482108213,OCSVM,TRUE,3
pi3,SVR(C=0.1),0.083391016,pi4,1.007925116,OCSVM,TRUE,3
pi2,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.939377382,pi4,0.05233649,OCSVM,TRUE,3
pi4,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.986452879,pi2,0.033780396,OCSVM,TRUE,3
pi4,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.986452879,pi3,1.950433171,OCSVM,TRUE,3
pi3,"SVR(C=0.001, epsilon=0.01, kernel='linear')",0.000596955,pi4,0.998009978,OCSVM,TRUE,3
pi2,LinearRegression(),0.941025735,pi4,0.059293992,OCSVM,TRUE,3
pi4,LinearRegression(),0.986455087,pi2,0.033722041,OCSVM,TRUE,3
pi4,LinearRegression(),0.986455087,pi3,1.995753296,OCSVM,TRUE,3
pi3,LinearRegression(),0.027892384,pi4,0.612577517,OCSVM,TRUE,3
pi4,"SVR(C=100, epsilon=0.01)",0.989164257,pi3,1.482108213,MMD OCSVM Verify,TRUE,3
pi3,SVR(C=0.1),0.083391016,pi4,1.007925116,MMD OCSVM Verify,TRUE,3
pi4,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.986452879,pi3,1.950433171,MMD OCSVM Verify,TRUE,3
pi3,"SVR(C=0.001, epsilon=0.01, kernel='linear')",0.000596955,pi4,0.998009978,MMD OCSVM Verify,TRUE,3
pi4,LinearRegression(),0.986455087,pi3,1.995753296,MMD OCSVM Verify,TRUE,3
pi3,LinearRegression(),0.027892384,pi4,0.612577517,MMD OCSVM Verify,TRUE,3
pi3,"SVR(C=0.1, epsilon=0.2)",0.119003886,pi4,1.005610871,MMD,FALSE,3
pi4,SVR(C=100),0.98885363,pi3,1.056678831,MMD,FALSE,3
pi3,SVR(kernel='linear'),0.018178322,pi4,0.756723654,MMD,FALSE,3
pi4,SVR(kernel='linear'),0.986405362,pi3,2.133605308,MMD,FALSE,3
pi3,LinearRegression(),0.027891703,pi4,0.612577438,MMD,FALSE,3
pi4,LinearRegression(),0.986455087,pi3,1.995753181,MMD,FALSE,3
pi2,"SVR(C=1, epsilon=0.2)",0.9435372,pi4,2.507642179,OCSVM,FALSE,3
pi4,SVR(C=100),0.98885363,pi2,1.245891375,OCSVM,FALSE,3
pi4,SVR(C=100),0.98885363,pi3,1.056678831,OCSVM,FALSE,3
pi3,"SVR(C=0.1, epsilon=0.2)",0.119003886,pi4,1.005610871,OCSVM,FALSE,3
pi2,"SVR(C=10, epsilon=0.2, kernel='linear')",0.940210155,pi4,0.086441707,OCSVM,FALSE,3
pi4,SVR(kernel='linear'),0.986405362,pi2,0.028842565,OCSVM,FALSE,3
pi4,SVR(kernel='linear'),0.986405362,pi3,2.133605308,OCSVM,FALSE,3
pi3,SVR(kernel='linear'),0.018178322,pi4,0.756723654,OCSVM,FALSE,3
pi2,LinearRegression(),0.94102573,pi4,0.059293954,OCSVM,FALSE,3
pi4,LinearRegression(),0.986455087,pi2,0.033722073,OCSVM,FALSE,3
pi4,LinearRegression(),0.986455087,pi3,1.995753181,OCSVM,FALSE,3
pi3,LinearRegression(),0.027891703,pi4,0.612577438,OCSVM,FALSE,3
pi4,SVR(C=100),0.98885363,pi3,1.056678831,MMD OCSVM Verify,FALSE,3
pi3,"SVR(C=0.1, epsilon=0.2)",0.119003886,pi4,1.005610871,MMD OCSVM Verify,FALSE,3
pi4,SVR(kernel='linear'),0.986405362,pi3,2.133605308,MMD OCSVM Verify,FALSE,3
pi3,SVR(kernel='linear'),0.018178322,pi4,0.756723654,MMD OCSVM Verify,FALSE,3
pi4,LinearRegression(),0.986455087,pi3,1.995753181,MMD OCSVM Verify,FALSE,3
pi3,LinearRegression(),0.027891703,pi4,0.612577438,MMD OCSVM Verify,FALSE,3
